Name,Standort,Gründe,Monate
Himbeeren (wild),"Waldränder, Lichtungen",süß-aromatisch • reich an Antioxidantien • gute Sommerfrucht,6-8
Brombeeren,"Hecken, Waldränder, Böschungen","saftig-süß • Vitamin C und Mineralstoffe • vielseitig (roh, Marmelade)",7-9
Heidelbeeren,"Moor- & Heidewälder, saure Böden",antioxidantienreich • aromatisch & gesund • beliebt frisch & gekocht,6-9
Holunderbeeren,"Waldränder, Feldhecken",Vitamin C & sekundäre Pflanzenstoffe • gut für Säfte & Gelees • weit verbreitet,9-10
Schlehen,"Hecken, Waldränder, Feldgehölze","sehr Vitamin C-reich • herber Geschmack (roh herb, gekocht mild) • gut für Likör, Marmelade",10-11
Hagebutten,"Hecken, Waldränder, Feldränder","Vitamin-C-Bombe • lange haltbar (getrocknet, Tee) • vielseitig nutzbar",9-12
Sanddorn,"Küstenregionen, Dünen, Flussauen",extrem Vitamin C-reich • intensiver Geschmack • vielseitig in Säften & Mus,8-10
Vogelbeeren (Eberesche),"Wälder, Hecken, Gebirge",reich an Bitterstoffen & Vitaminen • gekocht essbar (Marmeladen) • sehr häufig,9-10
Preiselbeeren,"Moorwälder, Gebirge, Heide",säuerlich-aromatisch • Vitamin C & Antioxidantien • klassisch zu Wildgerichten,8-9
Schwarzer Holunder (Blüten/Beeren),"Waldränder, feuchte Standorte","vielseitig (Sirup, Gelee) • immunstärkend • sehr häufig in DE","5-6 (Blüten), 9-10 (Beeren)"
