Name,Standort,Gründe,Monate
Brennnessel,"Wegränder, feuchte Böden, Wälder","eisen- & mineralstoffreich • vielseitig in Küche (Tee, Spinat) • stärkt Immunsystem",4-10
Giersch,"schattige Wälder, feuchte Böschungen",vitaminreich • fördert Verdauung • weit verbreitet & leicht erkennbar,3-11
Bärlauch,"feuchte Laubwälder, Auen",knoblauchartiges Aroma • Vitamin C • vielseitig in Pesto & Suppen,3-5
Gundermann,"Waldränder, Hecken, feuchte Plätze",aromatisch • unterstützt Verdauung • würzt Salate & Kräuterbutter,3-6
Löwenzahn,"Wiesen, Wegränder, Gärten",Bitterstoffe gut für Leber & Galle • essbar von Wurzel bis Blüte • sehr häufig,3-7
Waldmeister,"schattige Laubwälder, moosige Böden",aromatisch (Cumarin) • traditionell in Maibowle • vielseitig in Süßspeisen,4-6
Vogelmiere,"Gärten, Felder, Mauerritzen","mild im Geschmack • vitaminreich (C, Mineralien) • ganzjährig verfügbar",3-9
Knoblauchsrauke,"Waldränder, Hecken, Wege",knoblauchartiges Aroma • reich an Vitaminen • würzt Salate & Dips,3-6
Sauerampfer,"feuchte Wiesen, Ufer",erfrischend säuerlich • Vitamin C-Spender • beliebt in Suppen,5-8
Schafgarbe,"Wiesen, Trockenrasen, Wegränder",heilkräftig (entzündungshemmend) • Tee & Würzkraut • essbare Blüten,5-9
